X,Y,Z,Yaw
-0.00022364399729983726,-0.004430877842004535,-0.06320060605702904,-0.007473709585513591
-0.00022364399729983726,-0.004430877842004535,-0.06320060605702904,-0.007473709585513591
-0.00022357178213621917,-0.004430916260941938,-0.0632005994626112,-0.00747354960702121
-0.00022356466205375458,-0.004430880191774209,-0.06320060333119051,-0.007473723154770942
-0.00022349180279128932,-0.004430915556440318,-0.06320059672163444,-0.007473554297468646
-0.00022357178213621917,-0.004430916260941938,-0.0632005994626112,-0.00747354960702121
-0.00022347426076711405,-0.0044308562925612464,-0.0632005979776113,-0.007473621291876918
-0.00022340630833393368,-0.004430894577373053,-0.06320059141486697,-0.0074734681700398065
-0.00022356466205375458,-0.004430880191774209,-0.06320060333119051,-0.007473723154770942
-0.00022349180279128932,-0.004430915556440318,-0.06320059672163444,-0.007473554297468646
-0.00022347426076711405,-0.0044308562925612464,-0.0632005979776113,-0.007473621291876918
-0.00022340630833393368,-0.004430894577373053,-0.06320059141486697,-0.0074734681700398065
-0.00022340089816053586,-0.004430863581362389,-0.06320059491302538,-0.007473656476992284
-0.00022340089816053586,-0.004430863581362389,-0.06320059491302538,-0.007473656476992284
-0.00022332701530313089,-0.004430898306510989,-0.06320058797546996,-0.007473491901622021
-0.0002233206522256198,-0.00443086455663811,-0.06320059189191601,-0.007473673780034084
-0.00022324433043629383,-0.004430906788398706,-0.06320058576949192,-0.007473526582770853
-0.00022332701530313089,-0.004430898306510989,-0.06320058797546996,-0.007473491901622021
-0.00022323746012183412,-0.0044308726156782885,-0.06320058984298671,-0.007473707187583646
-0.00022316231452376017,-0.004430909565466139,-0.06320058354617536,-0.0074735492921195355
-0.00022315287298361672,-0.004430870537577444,-0.06320058655468969,-0.00747370870373373
-0.0002233206522256198,-0.00443086455663811,-0.06320059189191601,-0.007473673780034084
-0.00022308092480484779,-0.004430911084786781,-0.06320058005445817,-0.007473546401448515
-0.00022324433043629383,-0.004430906788398706,-0.06320058576949192,-0.007473526582770853
-0.0002230749097889527,-0.0044308759385258585,-0.06320058420046129,-0.007473721903205149
-0.00022323746012183412,-0.0044308726156782885,-0.06320058984298671,-0.007473707187583646
-0.00022300167001615932,-0.004430912853853431,-0.06320057743893986,-0.007473550654894636
-0.00022316231452376017,-0.004430909565466139,-0.06320058354617536,-0.0074735492921195355
-0.00022299272905208084,-0.004430873883359686,-0.06320058035032974,-0.007473712472126409
-0.00022315287298361672,-0.004430870537577444,-0.06320058655468969,-0.00747370870373373
-0.0002229203567530435,-0.004430912849192569,-0.06320057362355733,-0.007473551661500468
-0.00022308092480484779,-0.004430911084786781,-0.06320058005445817,-0.007473546401448515
-0.00022291320603902778,-0.00443087666571472,-0.06320057739202983,-0.007473725779696145
-0.0002230749097889527,-0.0044308759385258585,-0.06320058420046129,-0.007473721903205149
-0.00022300167001615932,-0.004430912853853431,-0.06320057743893986,-0.007473550654894636
